pid,face_id,version,question,response,timestamp
5eefd6b37da4d24c8af3bcbc,Face (1),left,trust_left,1,2025-09-25T12:05:46.900843
5eefd6b37da4d24c8af3bcbc,Face (1),left,emotion_left,2,2025-09-25T12:05:46.900843
5eefd6b37da4d24c8af3bcbc,Face (1),right,trust_right,3,2025-09-25T12:05:46.900843
5eefd6b37da4d24c8af3bcbc,Face (1),right,emotion_right,2,2025-09-25T12:05:46.900843
5eefd6b37da4d24c8af3bcbc,Face (1),half,masc_choice_half,both,2025-09-25T12:05:46.900843
5eefd6b37da4d24c8af3bcbc,Face (1),half,fem_choice_half,both,2025-09-25T12:05:46.900843
5eefd6b37da4d24c8af3bcbc,Face (1),full,trust_full,3,2025-09-25T12:05:46.900843
5eefd6b37da4d24c8af3bcbc,Face (1),full,emotion_full,2,2025-09-25T12:05:46.900843
5eefd6b37da4d24c8af3bcbc,Face (1),full,masc_choice_full,neither,2025-09-25T12:05:46.900843
5eefd6b37da4d24c8af3bcbc,Face (1),full,fem_choice_full,neither,2025-09-25T12:05:46.900843
5eefd6b37da4d24c8af3bcbc,Face (10),left,trust_left,1,2025-09-25T12:01:01.205198
5eefd6b37da4d24c8af3bcbc,Face (10),left,emotion_left,1,2025-09-25T12:01:01.205198
5eefd6b37da4d24c8af3bcbc,Face (10),right,trust_right,1,2025-09-25T12:01:01.205198
5eefd6b37da4d24c8af3bcbc,Face (10),right,emotion_right,1,2025-09-25T12:01:01.205198
5eefd6b37da4d24c8af3bcbc,Face (10),half,masc_choice_half,both,2025-09-25T12:01:01.205198
5eefd6b37da4d24c8af3bcbc,Face (10),half,fem_choice_half,both,2025-09-25T12:01:01.205198
5eefd6b37da4d24c8af3bcbc,Face (10),full,trust_full,1,2025-09-25T12:01:01.205198
5eefd6b37da4d24c8af3bcbc,Face (10),full,emotion_full,1,2025-09-25T12:01:01.205198
5eefd6b37da4d24c8af3bcbc,Face (10),full,masc_choice_full,both,2025-09-25T12:01:01.205198
5eefd6b37da4d24c8af3bcbc,Face (10),full,fem_choice_full,both,2025-09-25T12:01:01.205198
5eefd6b37da4d24c8af3bcbc,Face (11),left,trust_left,4,2025-09-25T12:26:01.239796
5eefd6b37da4d24c8af3bcbc,Face (11),left,emotion_left,5,2025-09-25T12:26:01.239796
5eefd6b37da4d24c8af3bcbc,Face (11),right,trust_right,4,2025-09-25T12:26:01.239796
5eefd6b37da4d24c8af3bcbc,Face (11),right,emotion_right,3,2025-09-25T12:26:01.239796
5eefd6b37da4d24c8af3bcbc,Face (11),half,masc_choice_half,neither,2025-09-25T12:26:01.239796
5eefd6b37da4d24c8af3bcbc,Face (11),half,fem_choice_half,neither,2025-09-25T12:26:01.239796
5eefd6b37da4d24c8af3bcbc,Face (11),full,trust_full,2,2025-09-25T12:26:01.239796
5eefd6b37da4d24c8af3bcbc,Face (11),full,emotion_full,1,2025-09-25T12:26:01.239796
5eefd6b37da4d24c8af3bcbc,Face (11),full,masc_choice_full,neither,2025-09-25T12:26:01.239796
5eefd6b37da4d24c8af3bcbc,Face (11),full,fem_choice_full,neither,2025-09-25T12:26:01.239796
5eefd6b37da4d24c8af3bcbc,Face (12),left,trust_left,1,2025-09-25T12:29:11.652873
5eefd6b37da4d24c8af3bcbc,Face (12),left,emotion_left,1,2025-09-25T12:29:11.652873
5eefd6b37da4d24c8af3bcbc,Face (12),right,trust_right,1,2025-09-25T12:29:11.652873
5eefd6b37da4d24c8af3bcbc,Face (12),right,emotion_right,1,2025-09-25T12:29:11.652873
5eefd6b37da4d24c8af3bcbc,Face (12),half,masc_choice_half,neither,2025-09-25T12:29:11.652873
5eefd6b37da4d24c8af3bcbc,Face (12),half,fem_choice_half,neither,2025-09-25T12:29:11.652873
5eefd6b37da4d24c8af3bcbc,Face (12),full,trust_full,2,2025-09-25T12:29:11.652873
5eefd6b37da4d24c8af3bcbc,Face (12),full,emotion_full,3,2025-09-25T12:29:11.652873
5eefd6b37da4d24c8af3bcbc,Face (12),full,masc_choice_full,both,2025-09-25T12:29:11.652873
5eefd6b37da4d24c8af3bcbc,Face (12),full,fem_choice_full,both,2025-09-25T12:29:11.652873
5eefd6b37da4d24c8af3bcbc,Face (13),left,trust_left,3,2025-09-25T12:30:22.881993
5eefd6b37da4d24c8af3bcbc,Face (13),left,emotion_left,4,2025-09-25T12:30:22.881993
5eefd6b37da4d24c8af3bcbc,Face (13),right,trust_right,3,2025-09-25T12:30:22.881993
5eefd6b37da4d24c8af3bcbc,Face (13),right,emotion_right,2,2025-09-25T12:30:22.881993
5eefd6b37da4d24c8af3bcbc,Face (13),half,masc_choice_half,neither,2025-09-25T12:30:22.881993
5eefd6b37da4d24c8af3bcbc,Face (13),half,fem_choice_half,neither,2025-09-25T12:30:22.881993
5eefd6b37da4d24c8af3bcbc,Face (13),full,trust_full,4,2025-09-25T12:30:22.881993
5eefd6b37da4d24c8af3bcbc,Face (13),full,emotion_full,3,2025-09-25T12:30:22.881993
5eefd6b37da4d24c8af3bcbc,Face (13),full,masc_choice_full,neither,2025-09-25T12:30:22.881993
5eefd6b37da4d24c8af3bcbc,Face (13),full,fem_choice_full,neither,2025-09-25T12:30:22.881993
5eefd6b37da4d24c8af3bcbc,Face (14),left,trust_left,1,2025-09-25T12:04:49.762576
