pid,face_id,version,question,response,timestamp
6097ec1a8c0b4df21cbb9024,Face (1),left,trust_left,1,2025-09-25T12:54:20.212150
6097ec1a8c0b4df21cbb9024,Face (1),left,emotion_left,1,2025-09-25T12:54:20.212150
6097ec1a8c0b4df21cbb9024,Face (1),right,trust_right,5,2025-09-25T12:54:20.212150
6097ec1a8c0b4df21cbb9024,Face (1),right,emotion_right,5,2025-09-25T12:54:20.212150
6097ec1a8c0b4df21cbb9024,Face (1),half,masc_choice_half,both,2025-09-25T12:54:20.212150
6097ec1a8c0b4df21cbb9024,Face (1),half,fem_choice_half,both,2025-09-25T12:54:20.212150
6097ec1a8c0b4df21cbb9024,Face (1),full,trust_full,5,2025-09-25T12:54:20.212150
6097ec1a8c0b4df21cbb9024,Face (1),full,emotion_full,5,2025-09-25T12:54:20.212150
6097ec1a8c0b4df21cbb9024,Face (1),full,masc_choice_full,both,2025-09-25T12:54:20.212150
6097ec1a8c0b4df21cbb9024,Face (1),full,fem_choice_full,both,2025-09-25T12:54:20.212150
6097ec1a8c0b4df21cbb9024,Face (10),left,trust_left,5,2025-09-25T12:56:36.337341
6097ec1a8c0b4df21cbb9024,Face (10),left,emotion_left,1,2025-09-25T12:56:36.337341
6097ec1a8c0b4df21cbb9024,Face (10),right,trust_right,5,2025-09-25T12:56:36.337341
6097ec1a8c0b4df21cbb9024,Face (10),right,emotion_right,5,2025-09-25T12:56:36.337341
6097ec1a8c0b4df21cbb9024,Face (10),half,masc_choice_half,both,2025-09-25T12:56:36.337341
6097ec1a8c0b4df21cbb9024,Face (10),half,fem_choice_half,both,2025-09-25T12:56:36.337341
6097ec1a8c0b4df21cbb9024,Face (10),full,trust_full,5,2025-09-25T12:56:36.337341
6097ec1a8c0b4df21cbb9024,Face (10),full,emotion_full,5,2025-09-25T12:56:36.337341
6097ec1a8c0b4df21cbb9024,Face (10),full,masc_choice_full,both,2025-09-25T12:56:36.337341
6097ec1a8c0b4df21cbb9024,Face (10),full,fem_choice_full,both,2025-09-25T12:56:36.337341
6097ec1a8c0b4df21cbb9024,Face (11),left,trust_left,1,2025-09-25T12:51:42.639329
6097ec1a8c0b4df21cbb9024,Face (11),left,emotion_left,1,2025-09-25T12:51:42.639329
6097ec1a8c0b4df21cbb9024,Face (11),right,trust_right,1,2025-09-25T12:51:42.639329
6097ec1a8c0b4df21cbb9024,Face (11),right,emotion_right,1,2025-09-25T12:51:42.639329
6097ec1a8c0b4df21cbb9024,Face (11),half,masc_choice_half,right,2025-09-25T12:51:42.639329
6097ec1a8c0b4df21cbb9024,Face (11),half,fem_choice_half,left,2025-09-25T12:51:42.639329
6097ec1a8c0b4df21cbb9024,Face (11),full,trust_full,1,2025-09-25T12:51:42.639329
6097ec1a8c0b4df21cbb9024,Face (11),full,emotion_full,1,2025-09-25T12:51:42.639329
6097ec1a8c0b4df21cbb9024,Face (11),full,masc_choice_full,right,2025-09-25T12:51:42.639329
6097ec1a8c0b4df21cbb9024,Face (11),full,fem_choice_full,left,2025-09-25T12:51:42.639329
6097ec1a8c0b4df21cbb9024,Face (12),left,trust_left,5,2025-09-25T12:48:50.522796
6097ec1a8c0b4df21cbb9024,Face (12),left,emotion_left,1,2025-09-25T12:48:50.522796
6097ec1a8c0b4df21cbb9024,Face (12),right,trust_right,5,2025-09-25T12:48:50.522796
6097ec1a8c0b4df21cbb9024,Face (12),right,emotion_right,1,2025-09-25T12:48:50.522796
6097ec1a8c0b4df21cbb9024,Face (12),half,masc_choice_half,left,2025-09-25T12:48:50.522796
6097ec1a8c0b4df21cbb9024,Face (12),half,fem_choice_half,right,2025-09-25T12:48:50.522796
6097ec1a8c0b4df21cbb9024,Face (12),full,trust_full,7,2025-09-25T12:48:50.522796
6097ec1a8c0b4df21cbb9024,Face (12),full,emotion_full,5,2025-09-25T12:48:50.522796
6097ec1a8c0b4df21cbb9024,Face (12),full,masc_choice_full,left,2025-09-25T12:48:50.522796
6097ec1a8c0b4df21cbb9024,Face (12),full,fem_choice_full,right,2025-09-25T12:48:50.522796
6097ec1a8c0b4df21cbb9024,Face (13),left,trust_left,9,2025-09-25T12:47:14.603553
6097ec1a8c0b4df21cbb9024,Face (13),left,emotion_left,9,2025-09-25T12:47:14.603553
6097ec1a8c0b4df21cbb9024,Face (13),right,trust_right,1,2025-09-25T12:47:14.603553
6097ec1a8c0b4df21cbb9024,Face (13),right,emotion_right,1,2025-09-25T12:47:14.603553
6097ec1a8c0b4df21cbb9024,Face (13),half,masc_choice_half,both,2025-09-25T12:47:14.603553
6097ec1a8c0b4df21cbb9024,Face (13),half,fem_choice_half,both,2025-09-25T12:47:14.603553
6097ec1a8c0b4df21cbb9024,Face (13),full,trust_full,9,2025-09-25T12:47:14.603553
6097ec1a8c0b4df21cbb9024,Face (13),full,emotion_full,9,2025-09-25T12:47:14.603553
6097ec1a8c0b4df21cbb9024,Face (13),full,masc_choice_full,both,2025-09-25T12:47:14.603553
6097ec1a8c0b4df21cbb9024,Face (13),full,fem_choice_full,both,2025-09-25T12:47:14.603553
6097ec1a8c0b4df21cbb9024,Face (14),left,trust_left,1,2025-09-25T12:35:59.976614
6097ec1a8c0b4df21cbb9024,Face (14),left,emotion_left,3,2025-09-25T12:35:59.976614
6097ec1a8c0b4df21cbb9024,Face (14),right,trust_right,1,2025-09-25T12:35:59.976614
6097ec1a8c0b4df21cbb9024,Face (14),right,emotion_right,3,2025-09-25T12:35:59.976614
6097ec1a8c0b4df21cbb9024,Face (14),half,masc_choice_half,both,2025-09-25T12:35:59.976614
6097ec1a8c0b4df21cbb9024,Face (14),half,fem_choice_half,both,2025-09-25T12:35:59.976614
6097ec1a8c0b4df21cbb9024,Face (14),full,trust_full,8,2025-09-25T12:35:59.976614
6097ec1a8c0b4df21cbb9024,Face (14),full,emotion_full,5,2025-09-25T12:35:59.976614
6097ec1a8c0b4df21cbb9024,Face (14),full,masc_choice_full,both,2025-09-25T12:35:59.976614
6097ec1a8c0b4df21cbb9024,Face (14),full,fem_choice_full,both,2025-09-25T12:35:59.976614
6097ec1a8c0b4df21cbb9024,Face (15),left,trust_left,1,2025-09-25T12:38:32.648969
6097ec1a8c0b4df21cbb9024,Face (15),left,emotion_left,5,2025-09-25T12:38:32.648969
6097ec1a8c0b4df21cbb9024,Face (15),right,trust_right,1,2025-09-25T12:38:32.648969
6097ec1a8c0b4df21cbb9024,Face (15),right,emotion_right,5,2025-09-25T12:38:32.648969
6097ec1a8c0b4df21cbb9024,Face (15),half,masc_choice_half,both,2025-09-25T12:38:32.648969
6097ec1a8c0b4df21cbb9024,Face (15),half,fem_choice_half,both,2025-09-25T12:38:32.648969
6097ec1a8c0b4df21cbb9024,Face (15),full,trust_full,1,2025-09-25T12:38:32.648969
6097ec1a8c0b4df21cbb9024,Face (15),full,emotion_full,1,2025-09-25T12:38:32.648969
6097ec1a8c0b4df21cbb9024,Face (15),full,masc_choice_full,both,2025-09-25T12:38:32.648969
6097ec1a8c0b4df21cbb9024,Face (15),full,fem_choice_full,both,2025-09-25T12:38:32.648969
6097ec1a8c0b4df21cbb9024,Face (16),left,trust_left,9,2025-09-25T12:55:01.673321
6097ec1a8c0b4df21cbb9024,Face (16),left,emotion_left,5,2025-09-25T12:55:01.673321
6097ec1a8c0b4df21cbb9024,Face (16),right,trust_right,9,2025-09-25T12:55:01.673321
6097ec1a8c0b4df21cbb9024,Face (16),right,emotion_right,5,2025-09-25T12:55:01.673321
6097ec1a8c0b4df21cbb9024,Face (16),half,masc_choice_half,left,2025-09-25T12:55:01.673321
6097ec1a8c0b4df21cbb9024,Face (16),half,fem_choice_half,right,2025-09-25T12:55:01.673321
6097ec1a8c0b4df21cbb9024,Face (16),full,trust_full,9,2025-09-25T12:55:01.673321
6097ec1a8c0b4df21cbb9024,Face (16),full,emotion_full,5,2025-09-25T12:55:01.673321
6097ec1a8c0b4df21cbb9024,Face (16),full,masc_choice_full,left,2025-09-25T12:55:01.673321
6097ec1a8c0b4df21cbb9024,Face (16),full,fem_choice_full,right,2025-09-25T12:55:01.673321
6097ec1a8c0b4df21cbb9024,Face (17),left,trust_left,1,2025-09-25T12:41:22.144014
6097ec1a8c0b4df21cbb9024,Face (17),left,emotion_left,1,2025-09-25T12:41:22.144014
6097ec1a8c0b4df21cbb9024,Face (17),right,trust_right,5,2025-09-25T12:41:22.144014
6097ec1a8c0b4df21cbb9024,Face (17),right,emotion_right,5,2025-09-25T12:41:22.144014
6097ec1a8c0b4df21cbb9024,Face (17),half,masc_choice_half,both,2025-09-25T12:41:22.144014
6097ec1a8c0b4df21cbb9024,Face (17),half,fem_choice_half,both,2025-09-25T12:41:22.144014
6097ec1a8c0b4df21cbb9024,Face (17),full,trust_full,5,2025-09-25T12:41:22.144014
6097ec1a8c0b4df21cbb9024,Face (17),full,emotion_full,5,2025-09-25T12:41:22.144014
6097ec1a8c0b4df21cbb9024,Face (17),full,masc_choice_full,both,2025-09-25T12:41:22.144014
6097ec1a8c0b4df21cbb9024,Face (17),full,fem_choice_full,both,2025-09-25T12:41:22.144014
6097ec1a8c0b4df21cbb9024,Face (18),left,trust_left,9,2025-09-25T12:51:02.211306
6097ec1a8c0b4df21cbb9024,Face (18),left,emotion_left,9,2025-09-25T12:51:02.211306
6097ec1a8c0b4df21cbb9024,Face (18),right,trust_right,9,2025-09-25T12:51:02.211306
6097ec1a8c0b4df21cbb9024,Face (18),right,emotion_right,9,2025-09-25T12:51:02.211306
6097ec1a8c0b4df21cbb9024,Face (18),half,masc_choice_half,left,2025-09-25T12:51:02.211306
6097ec1a8c0b4df21cbb9024,Face (18),half,fem_choice_half,right,2025-09-25T12:51:02.211306
6097ec1a8c0b4df21cbb9024,Face (18),full,trust_full,9,2025-09-25T12:51:02.211306
6097ec1a8c0b4df21cbb9024,Face (18),full,emotion_full,9,2025-09-25T12:51:02.211306
6097ec1a8c0b4df21cbb9024,Face (18),full,masc_choice_full,right,2025-09-25T12:51:02.211306
6097ec1a8c0b4df21cbb9024,Face (18),full,fem_choice_full,left,2025-09-25T12:51:02.211306
6097ec1a8c0b4df21cbb9024,Face (19),left,trust_left,9,2025-09-25T12:49:39.961742
6097ec1a8c0b4df21cbb9024,Face (19),left,emotion_left,5,2025-09-25T12:49:39.961742
6097ec1a8c0b4df21cbb9024,Face (19),right,trust_right,1,2025-09-25T12:49:39.961742
6097ec1a8c0b4df21cbb9024,Face (19),right,emotion_right,1,2025-09-25T12:49:39.961742
6097ec1a8c0b4df21cbb9024,Face (19),half,masc_choice_half,both,2025-09-25T12:49:39.961742
6097ec1a8c0b4df21cbb9024,Face (19),half,fem_choice_half,both,2025-09-25T12:49:39.961742
6097ec1a8c0b4df21cbb9024,Face (19),full,trust_full,9,2025-09-25T12:49:39.961742
6097ec1a8c0b4df21cbb9024,Face (19),full,emotion_full,5,2025-09-25T12:49:39.961742
6097ec1a8c0b4df21cbb9024,Face (19),full,masc_choice_full,both,2025-09-25T12:49:39.961742
6097ec1a8c0b4df21cbb9024,Face (19),full,fem_choice_full,both,2025-09-25T12:49:39.961742
6097ec1a8c0b4df21cbb9024,Face (2),left,trust_left,9,2025-09-25T12:37:46.218210
6097ec1a8c0b4df21cbb9024,Face (2),left,emotion_left,5,2025-09-25T12:37:46.218210
6097ec1a8c0b4df21cbb9024,Face (2),right,trust_right,9,2025-09-25T12:37:46.218210
6097ec1a8c0b4df21cbb9024,Face (2),right,emotion_right,5,2025-09-25T12:37:46.218210
6097ec1a8c0b4df21cbb9024,Face (2),half,masc_choice_half,both,2025-09-25T12:37:46.218210
6097ec1a8c0b4df21cbb9024,Face (2),half,fem_choice_half,both,2025-09-25T12:37:46.218210
6097ec1a8c0b4df21cbb9024,Face (2),full,trust_full,9,2025-09-25T12:37:46.218210
6097ec1a8c0b4df21cbb9024,Face (2),full,emotion_full,5,2025-09-25T12:37:46.218210
6097ec1a8c0b4df21cbb9024,Face (2),full,masc_choice_full,both,2025-09-25T12:37:46.218210
6097ec1a8c0b4df21cbb9024,Face (2),full,fem_choice_full,both,2025-09-25T12:37:46.218210
6097ec1a8c0b4df21cbb9024,Face (20),left,trust_left,9,2025-09-25T12:52:53.360928
6097ec1a8c0b4df21cbb9024,Face (20),left,emotion_left,5,2025-09-25T12:52:53.360928
6097ec1a8c0b4df21cbb9024,Face (20),right,trust_right,1,2025-09-25T12:52:53.360928
6097ec1a8c0b4df21cbb9024,Face (20),right,emotion_right,5,2025-09-25T12:52:53.360928
6097ec1a8c0b4df21cbb9024,Face (20),half,masc_choice_half,both,2025-09-25T12:52:53.360928
6097ec1a8c0b4df21cbb9024,Face (20),half,fem_choice_half,both,2025-09-25T12:52:53.360928
6097ec1a8c0b4df21cbb9024,Face (20),full,trust_full,9,2025-09-25T12:52:53.360928
6097ec1a8c0b4df21cbb9024,Face (20),full,emotion_full,5,2025-09-25T12:52:53.360928
6097ec1a8c0b4df21cbb9024,Face (20),full,masc_choice_full,both,2025-09-25T12:52:53.360928
6097ec1a8c0b4df21cbb9024,Face (20),full,fem_choice_full,both,2025-09-25T12:52:53.360928
6097ec1a8c0b4df21cbb9024,Face (21),left,trust_left,5,2025-09-25T12:32:36.190180
6097ec1a8c0b4df21cbb9024,Face (21),left,emotion_left,1,2025-09-25T12:32:36.190180
6097ec1a8c0b4df21cbb9024,Face (21),right,trust_right,5,2025-09-25T12:32:36.190180
