pid,face_id,version,question,response,timestamp
671d39090c9e2ad9ec75a03c,Face (1),left,trust_left,3,2025-09-25T13:25:23.145772
671d39090c9e2ad9ec75a03c,Face (1),left,emotion_left,4,2025-09-25T13:25:23.145772
671d39090c9e2ad9ec75a03c,Face (1),right,trust_right,3,2025-09-25T13:25:23.145772
671d39090c9e2ad9ec75a03c,Face (1),right,emotion_right,5,2025-09-25T13:25:23.145772
671d39090c9e2ad9ec75a03c,Face (1),half,masc_choice_half,neither,2025-09-25T13:25:23.145772
671d39090c9e2ad9ec75a03c,Face (1),half,fem_choice_half,neither,2025-09-25T13:25:23.145772
671d39090c9e2ad9ec75a03c,Face (1),full,trust_full,4,2025-09-25T13:25:23.145772
671d39090c9e2ad9ec75a03c,Face (1),full,emotion_full,5,2025-09-25T13:25:23.145772
671d39090c9e2ad9ec75a03c,Face (1),full,masc_choice_full,neither,2025-09-25T13:25:23.145772
671d39090c9e2ad9ec75a03c,Face (1),full,fem_choice_full,neither,2025-09-25T13:25:23.145772
671d39090c9e2ad9ec75a03c,Face (10),left,trust_left,6,2025-09-25T13:26:23.568639
671d39090c9e2ad9ec75a03c,Face (10),left,emotion_left,6,2025-09-25T13:26:23.568639
671d39090c9e2ad9ec75a03c,Face (10),right,trust_right,5,2025-09-25T13:26:23.568639
671d39090c9e2ad9ec75a03c,Face (10),right,emotion_right,5,2025-09-25T13:26:23.568639
671d39090c9e2ad9ec75a03c,Face (10),half,masc_choice_half,neither,2025-09-25T13:26:23.568639
671d39090c9e2ad9ec75a03c,Face (10),half,fem_choice_half,neither,2025-09-25T13:26:23.568639
671d39090c9e2ad9ec75a03c,Face (10),full,trust_full,7,2025-09-25T13:26:23.568639
671d39090c9e2ad9ec75a03c,Face (10),full,emotion_full,7,2025-09-25T13:26:23.568639
671d39090c9e2ad9ec75a03c,Face (10),full,masc_choice_full,neither,2025-09-25T13:26:23.568639
671d39090c9e2ad9ec75a03c,Face (10),full,fem_choice_full,neither,2025-09-25T13:26:23.568639
671d39090c9e2ad9ec75a03c,Face (11),left,trust_left,4,2025-09-25T13:15:47.042973
671d39090c9e2ad9ec75a03c,Face (11),left,emotion_left,4,2025-09-25T13:15:47.042973
671d39090c9e2ad9ec75a03c,Face (11),right,trust_right,4,2025-09-25T13:15:47.042973
671d39090c9e2ad9ec75a03c,Face (11),right,emotion_right,3,2025-09-25T13:15:47.042973
671d39090c9e2ad9ec75a03c,Face (11),half,masc_choice_half,neither,2025-09-25T13:15:47.042973
671d39090c9e2ad9ec75a03c,Face (11),half,fem_choice_half,neither,2025-09-25T13:15:47.042973
671d39090c9e2ad9ec75a03c,Face (11),full,trust_full,4,2025-09-25T13:15:47.042973
671d39090c9e2ad9ec75a03c,Face (11),full,emotion_full,4,2025-09-25T13:15:47.042973
