pid,face_id,version,question,response,timestamp
674b35aef9b2ae3dcdd26213,Face (1),left,trust_left,6,2025-09-25T13:43:48.553561
674b35aef9b2ae3dcdd26213,Face (1),left,emotion_left,5,2025-09-25T13:43:48.553561
674b35aef9b2ae3dcdd26213,Face (1),right,trust_right,5,2025-09-25T13:43:48.553561
674b35aef9b2ae3dcdd26213,Face (1),right,emotion_right,5,2025-09-25T13:43:48.553561
674b35aef9b2ae3dcdd26213,Face (1),half,masc_choice_half,right,2025-09-25T13:43:48.553561
674b35aef9b2ae3dcdd26213,Face (1),half,fem_choice_half,left,2025-09-25T13:43:48.553561
674b35aef9b2ae3dcdd26213,Face (1),full,trust_full,6,2025-09-25T13:43:48.553561
674b35aef9b2ae3dcdd26213,Face (1),full,emotion_full,5,2025-09-25T13:43:48.553561
674b35aef9b2ae3dcdd26213,Face (1),full,masc_choice_full,right,2025-09-25T13:43:48.553561
674b35aef9b2ae3dcdd26213,Face (1),full,fem_choice_full,left,2025-09-25T13:43:48.553561
674b35aef9b2ae3dcdd26213,Face (10),left,trust_left,3,2025-09-25T12:57:54.304650
674b35aef9b2ae3dcdd26213,Face (10),left,emotion_left,3,2025-09-25T12:57:54.304650
674b35aef9b2ae3dcdd26213,Face (10),right,trust_right,4,2025-09-25T12:57:54.304650
674b35aef9b2ae3dcdd26213,Face (10),right,emotion_right,4,2025-09-25T12:57:54.304650
674b35aef9b2ae3dcdd26213,Face (10),half,masc_choice_half,left,2025-09-25T12:57:54.304650
674b35aef9b2ae3dcdd26213,Face (10),half,fem_choice_half,right,2025-09-25T12:57:54.304650
674b35aef9b2ae3dcdd26213,Face (10),full,trust_full,3,2025-09-25T12:57:54.304650
674b35aef9b2ae3dcdd26213,Face (10),full,emotion_full,4,2025-09-25T12:57:54.304650
674b35aef9b2ae3dcdd26213,Face (10),full,masc_choice_full,left,2025-09-25T12:57:54.304650
674b35aef9b2ae3dcdd26213,Face (10),full,fem_choice_full,right,2025-09-25T12:57:54.304650
674b35aef9b2ae3dcdd26213,Face (11),left,trust_left,4,2025-09-25T13:41:30.322702
674b35aef9b2ae3dcdd26213,Face (11),left,emotion_left,3,2025-09-25T13:41:30.322702
674b35aef9b2ae3dcdd26213,Face (11),right,trust_right,4,2025-09-25T13:41:30.322702
674b35aef9b2ae3dcdd26213,Face (11),right,emotion_right,5,2025-09-25T13:41:30.322702
674b35aef9b2ae3dcdd26213,Face (11),half,masc_choice_half,left,2025-09-25T13:41:30.322702
674b35aef9b2ae3dcdd26213,Face (11),half,fem_choice_half,right,2025-09-25T13:41:30.322702
674b35aef9b2ae3dcdd26213,Face (11),full,trust_full,4,2025-09-25T13:41:30.322702
674b35aef9b2ae3dcdd26213,Face (11),full,emotion_full,3,2025-09-25T13:41:30.322702
674b35aef9b2ae3dcdd26213,Face (11),full,masc_choice_full,left,2025-09-25T13:41:30.322702
674b35aef9b2ae3dcdd26213,Face (11),full,fem_choice_full,right,2025-09-25T13:41:30.322702
674b35aef9b2ae3dcdd26213,Face (12),left,trust_left,4,2025-09-25T13:48:57.300263
674b35aef9b2ae3dcdd26213,Face (12),left,emotion_left,4,2025-09-25T13:48:57.300263
674b35aef9b2ae3dcdd26213,Face (12),right,trust_right,4,2025-09-25T13:48:57.300263
674b35aef9b2ae3dcdd26213,Face (12),right,emotion_right,5,2025-09-25T13:48:57.300263
674b35aef9b2ae3dcdd26213,Face (12),half,masc_choice_half,left,2025-09-25T13:48:57.300263
674b35aef9b2ae3dcdd26213,Face (12),half,fem_choice_half,right,2025-09-25T13:48:57.300263
674b35aef9b2ae3dcdd26213,Face (12),full,trust_full,4,2025-09-25T13:48:57.300263
674b35aef9b2ae3dcdd26213,Face (12),full,emotion_full,4,2025-09-25T13:48:57.300263
674b35aef9b2ae3dcdd26213,Face (12),full,masc_choice_full,left,2025-09-25T13:48:57.300263
674b35aef9b2ae3dcdd26213,Face (12),full,fem_choice_full,right,2025-09-25T13:48:57.300263
674b35aef9b2ae3dcdd26213,Face (13),left,trust_left,4,2025-09-25T13:06:38.452890
674b35aef9b2ae3dcdd26213,Face (13),left,emotion_left,4,2025-09-25T13:06:38.452890
