pid,face_id,version,question,response,timestamp
6777f3e9760d3844217b5ea8,Face (1),left,trust_left,3,2025-09-25T11:48:57.385428
6777f3e9760d3844217b5ea8,Face (1),left,emotion_left,5,2025-09-25T11:48:57.385428
6777f3e9760d3844217b5ea8,Face (1),right,trust_right,3,2025-09-25T11:48:57.385428
6777f3e9760d3844217b5ea8,Face (1),right,emotion_right,6,2025-09-25T11:48:57.385428
6777f3e9760d3844217b5ea8,Face (1),half,masc_choice_half,both,2025-09-25T11:48:57.385428
6777f3e9760d3844217b5ea8,Face (1),half,fem_choice_half,both,2025-09-25T11:48:57.385428
6777f3e9760d3844217b5ea8,Face (1),full,trust_full,3,2025-09-25T11:48:57.385428
6777f3e9760d3844217b5ea8,Face (1),full,emotion_full,5,2025-09-25T11:48:57.385428
6777f3e9760d3844217b5ea8,Face (1),full,masc_choice_full,both,2025-09-25T11:48:57.385428
6777f3e9760d3844217b5ea8,Face (1),full,fem_choice_full,both,2025-09-25T11:48:57.385428
6777f3e9760d3844217b5ea8,Face (10),left,trust_left,2,2025-09-25T11:49:18.980604
6777f3e9760d3844217b5ea8,Face (10),left,emotion_left,5,2025-09-25T11:49:18.980604
6777f3e9760d3844217b5ea8,Face (10),right,trust_right,2,2025-09-25T11:49:18.980604
6777f3e9760d3844217b5ea8,Face (10),right,emotion_right,5,2025-09-25T11:49:18.980604
6777f3e9760d3844217b5ea8,Face (10),half,masc_choice_half,both,2025-09-25T11:49:18.980604
6777f3e9760d3844217b5ea8,Face (10),half,fem_choice_half,both,2025-09-25T11:49:18.980604
6777f3e9760d3844217b5ea8,Face (10),full,trust_full,3,2025-09-25T11:49:18.980604
6777f3e9760d3844217b5ea8,Face (10),full,emotion_full,5,2025-09-25T11:49:18.980604
6777f3e9760d3844217b5ea8,Face (10),full,masc_choice_full,both,2025-09-25T11:49:18.980604
6777f3e9760d3844217b5ea8,Face (10),full,fem_choice_full,both,2025-09-25T11:49:18.980604
6777f3e9760d3844217b5ea8,Face (11),left,trust_left,2,2025-09-25T11:54:05.384843
6777f3e9760d3844217b5ea8,Face (11),left,emotion_left,5,2025-09-25T11:54:05.384843
6777f3e9760d3844217b5ea8,Face (11),right,trust_right,1,2025-09-25T11:54:05.384843
6777f3e9760d3844217b5ea8,Face (11),right,emotion_right,3,2025-09-25T11:54:05.384843
6777f3e9760d3844217b5ea8,Face (11),half,masc_choice_half,right,2025-09-25T11:54:05.384843
6777f3e9760d3844217b5ea8,Face (11),half,fem_choice_half,left,2025-09-25T11:54:05.384843
6777f3e9760d3844217b5ea8,Face (11),full,trust_full,1,2025-09-25T11:54:05.384843
6777f3e9760d3844217b5ea8,Face (11),full,emotion_full,4,2025-09-25T11:54:05.384843
6777f3e9760d3844217b5ea8,Face (11),full,masc_choice_full,both,2025-09-25T11:54:05.384843
6777f3e9760d3844217b5ea8,Face (11),full,fem_choice_full,both,2025-09-25T11:54:05.384843
6777f3e9760d3844217b5ea8,Face (12),left,trust_left,3,2025-09-25T11:56:01.758404
6777f3e9760d3844217b5ea8,Face (12),left,emotion_left,4,2025-09-25T11:56:01.758404
6777f3e9760d3844217b5ea8,Face (12),right,trust_right,3,2025-09-25T11:56:01.758404
6777f3e9760d3844217b5ea8,Face (12),right,emotion_right,3,2025-09-25T11:56:01.758404
6777f3e9760d3844217b5ea8,Face (12),half,masc_choice_half,both,2025-09-25T11:56:01.758404
6777f3e9760d3844217b5ea8,Face (12),half,fem_choice_half,both,2025-09-25T11:56:01.758404
6777f3e9760d3844217b5ea8,Face (12),full,trust_full,3,2025-09-25T11:56:01.758404
6777f3e9760d3844217b5ea8,Face (12),full,emotion_full,4,2025-09-25T11:56:01.758404
6777f3e9760d3844217b5ea8,Face (12),full,masc_choice_full,both,2025-09-25T11:56:01.758404
6777f3e9760d3844217b5ea8,Face (12),full,fem_choice_full,both,2025-09-25T11:56:01.758404
6777f3e9760d3844217b5ea8,Face (13),left,trust_left,3,2025-09-25T11:47:15.261798
6777f3e9760d3844217b5ea8,Face (13),left,emotion_left,5,2025-09-25T11:47:15.261798
6777f3e9760d3844217b5ea8,Face (13),right,trust_right,2,2025-09-25T11:47:15.261798
6777f3e9760d3844217b5ea8,Face (13),right,emotion_right,4,2025-09-25T11:47:15.261798
6777f3e9760d3844217b5ea8,Face (13),half,masc_choice_half,right,2025-09-25T11:47:15.261798
6777f3e9760d3844217b5ea8,Face (13),half,fem_choice_half,left,2025-09-25T11:47:15.261798
6777f3e9760d3844217b5ea8,Face (13),full,trust_full,3,2025-09-25T11:47:15.261798
6777f3e9760d3844217b5ea8,Face (13),full,emotion_full,5,2025-09-25T11:47:15.261798
6777f3e9760d3844217b5ea8,Face (13),full,masc_choice_full,both,2025-09-25T11:47:15.261798
6777f3e9760d3844217b5ea8,Face (13),full,fem_choice_full,both,2025-09-25T11:47:15.261798
6777f3e9760d3844217b5ea8,Face (14),left,trust_left,3,2025-09-25T11:52:01.315940
6777f3e9760d3844217b5ea8,Face (14),left,emotion_left,5,2025-09-25T11:52:01.315940
6777f3e9760d3844217b5ea8,Face (14),right,trust_right,3,2025-09-25T11:52:01.315940
6777f3e9760d3844217b5ea8,Face (14),right,emotion_right,4,2025-09-25T11:52:01.315940
6777f3e9760d3844217b5ea8,Face (14),half,masc_choice_half,left,2025-09-25T11:52:01.315940
6777f3e9760d3844217b5ea8,Face (14),half,fem_choice_half,right,2025-09-25T11:52:01.315940
6777f3e9760d3844217b5ea8,Face (14),full,trust_full,2,2025-09-25T11:52:01.315940
6777f3e9760d3844217b5ea8,Face (14),full,emotion_full,4,2025-09-25T11:52:01.315940
6777f3e9760d3844217b5ea8,Face (14),full,masc_choice_full,both,2025-09-25T11:52:01.315940
6777f3e9760d3844217b5ea8,Face (14),full,fem_choice_full,both,2025-09-25T11:52:01.315940
6777f3e9760d3844217b5ea8,Face (15),left,trust_left,2,2025-09-25T11:56:45.430086
6777f3e9760d3844217b5ea8,Face (15),left,emotion_left,4,2025-09-25T11:56:45.430086
6777f3e9760d3844217b5ea8,Face (15),right,trust_right,2,2025-09-25T11:56:45.430086
6777f3e9760d3844217b5ea8,Face (15),right,emotion_right,5,2025-09-25T11:56:45.430086
6777f3e9760d3844217b5ea8,Face (15),half,masc_choice_half,both,2025-09-25T11:56:45.430086
6777f3e9760d3844217b5ea8,Face (15),half,fem_choice_half,both,2025-09-25T11:56:45.430086
6777f3e9760d3844217b5ea8,Face (15),full,trust_full,1,2025-09-25T11:56:45.430086
6777f3e9760d3844217b5ea8,Face (15),full,emotion_full,4,2025-09-25T11:56:45.430086
6777f3e9760d3844217b5ea8,Face (15),full,masc_choice_full,both,2025-09-25T11:56:45.430086
6777f3e9760d3844217b5ea8,Face (15),full,fem_choice_full,both,2025-09-25T11:56:45.430086
6777f3e9760d3844217b5ea8,Face (16),left,trust_left,2,2025-09-25T11:53:38.007818
6777f3e9760d3844217b5ea8,Face (16),left,emotion_left,4,2025-09-25T11:53:38.007818
6777f3e9760d3844217b5ea8,Face (16),right,trust_right,3,2025-09-25T11:53:38.007818
6777f3e9760d3844217b5ea8,Face (16),right,emotion_right,5,2025-09-25T11:53:38.007818
