pid,face_id,version,question,response,timestamp
67839886a09ff9fef57d6ba9,Face (1),left,trust_left,4,2025-09-25T12:46:34.846505
67839886a09ff9fef57d6ba9,Face (1),left,emotion_left,5,2025-09-25T12:46:34.846505
67839886a09ff9fef57d6ba9,Face (1),right,trust_right,6,2025-09-25T12:46:34.846505
67839886a09ff9fef57d6ba9,Face (1),right,emotion_right,6,2025-09-25T12:46:34.846505
67839886a09ff9fef57d6ba9,Face (1),half,masc_choice_half,left,2025-09-25T12:46:34.846505
67839886a09ff9fef57d6ba9,Face (1),half,fem_choice_half,right,2025-09-25T12:46:34.846505
67839886a09ff9fef57d6ba9,Face (1),full,trust_full,6,2025-09-25T12:46:34.846505
67839886a09ff9fef57d6ba9,Face (1),full,emotion_full,6,2025-09-25T12:46:34.846505
67839886a09ff9fef57d6ba9,Face (1),full,masc_choice_full,both,2025-09-25T12:46:34.846505
67839886a09ff9fef57d6ba9,Face (1),full,fem_choice_full,both,2025-09-25T12:46:34.846505
67839886a09ff9fef57d6ba9,Face (10),left,trust_left,5,2025-09-25T12:15:40.421419
67839886a09ff9fef57d6ba9,Face (10),left,emotion_left,5,2025-09-25T12:15:40.421419
67839886a09ff9fef57d6ba9,Face (10),right,trust_right,7,2025-09-25T12:15:40.421419
67839886a09ff9fef57d6ba9,Face (10),right,emotion_right,7,2025-09-25T12:15:40.421419
67839886a09ff9fef57d6ba9,Face (10),half,masc_choice_half,left,2025-09-25T12:15:40.421419
67839886a09ff9fef57d6ba9,Face (10),half,fem_choice_half,right,2025-09-25T12:15:40.421419
67839886a09ff9fef57d6ba9,Face (10),full,trust_full,8,2025-09-25T12:15:40.421419
67839886a09ff9fef57d6ba9,Face (10),full,emotion_full,6,2025-09-25T12:15:40.421419
67839886a09ff9fef57d6ba9,Face (10),full,masc_choice_full,left,2025-09-25T12:15:40.421419
67839886a09ff9fef57d6ba9,Face (10),full,fem_choice_full,right,2025-09-25T12:15:40.421419
67839886a09ff9fef57d6ba9,Face (11),left,trust_left,6,2025-09-25T12:49:33.563501
67839886a09ff9fef57d6ba9,Face (11),left,emotion_left,5,2025-09-25T12:49:33.563501
67839886a09ff9fef57d6ba9,Face (11),right,trust_right,7,2025-09-25T12:49:33.563501
67839886a09ff9fef57d6ba9,Face (11),right,emotion_right,8,2025-09-25T12:49:33.563501
67839886a09ff9fef57d6ba9,Face (11),half,masc_choice_half,left,2025-09-25T12:49:33.563501
67839886a09ff9fef57d6ba9,Face (11),half,fem_choice_half,right,2025-09-25T12:49:33.563501
67839886a09ff9fef57d6ba9,Face (11),full,trust_full,7,2025-09-25T12:49:33.563501
67839886a09ff9fef57d6ba9,Face (11),full,emotion_full,6,2025-09-25T12:49:33.563501
67839886a09ff9fef57d6ba9,Face (11),full,masc_choice_full,left,2025-09-25T12:49:33.563501
67839886a09ff9fef57d6ba9,Face (11),full,fem_choice_full,right,2025-09-25T12:49:33.563501
67839886a09ff9fef57d6ba9,Face (12),left,trust_left,6,2025-09-25T12:40:04.783597
67839886a09ff9fef57d6ba9,Face (12),left,emotion_left,6,2025-09-25T12:40:04.783597
67839886a09ff9fef57d6ba9,Face (12),right,trust_right,5,2025-09-25T12:40:04.783597
67839886a09ff9fef57d6ba9,Face (12),right,emotion_right,5,2025-09-25T12:40:04.783597
67839886a09ff9fef57d6ba9,Face (12),half,masc_choice_half,right,2025-09-25T12:40:04.783597
67839886a09ff9fef57d6ba9,Face (12),half,fem_choice_half,left,2025-09-25T12:40:04.783597
67839886a09ff9fef57d6ba9,Face (12),full,trust_full,6,2025-09-25T12:40:04.783597
67839886a09ff9fef57d6ba9,Face (12),full,emotion_full,6,2025-09-25T12:40:04.783597
67839886a09ff9fef57d6ba9,Face (12),full,masc_choice_full,both,2025-09-25T12:40:04.783597
67839886a09ff9fef57d6ba9,Face (12),full,fem_choice_full,both,2025-09-25T12:40:04.783597
67839886a09ff9fef57d6ba9,Face (13),left,trust_left,7,2025-09-25T12:30:33.889030
67839886a09ff9fef57d6ba9,Face (13),left,emotion_left,6,2025-09-25T12:30:33.889030
67839886a09ff9fef57d6ba9,Face (13),right,trust_right,6,2025-09-25T12:30:33.889030
67839886a09ff9fef57d6ba9,Face (13),right,emotion_right,5,2025-09-25T12:30:33.889030
67839886a09ff9fef57d6ba9,Face (13),half,masc_choice_half,left,2025-09-25T12:30:33.889030
67839886a09ff9fef57d6ba9,Face (13),half,fem_choice_half,right,2025-09-25T12:30:33.889030
67839886a09ff9fef57d6ba9,Face (13),full,trust_full,7,2025-09-25T12:30:33.889030
67839886a09ff9fef57d6ba9,Face (13),full,emotion_full,5,2025-09-25T12:30:33.889030
67839886a09ff9fef57d6ba9,Face (13),full,masc_choice_full,left,2025-09-25T12:30:33.889030
67839886a09ff9fef57d6ba9,Face (13),full,fem_choice_full,right,2025-09-25T12:30:33.889030
67839886a09ff9fef57d6ba9,Face (14),left,trust_left,5,2025-09-25T12:56:18.884526
67839886a09ff9fef57d6ba9,Face (14),left,emotion_left,4,2025-09-25T12:56:18.884526
67839886a09ff9fef57d6ba9,Face (14),right,trust_right,6,2025-09-25T12:56:18.884526
67839886a09ff9fef57d6ba9,Face (14),right,emotion_right,6,2025-09-25T12:56:18.884526
67839886a09ff9fef57d6ba9,Face (14),half,masc_choice_half,both,2025-09-25T12:56:18.884526
67839886a09ff9fef57d6ba9,Face (14),half,fem_choice_half,both,2025-09-25T12:56:18.884526
67839886a09ff9fef57d6ba9,Face (14),full,trust_full,6,2025-09-25T12:56:18.884526
67839886a09ff9fef57d6ba9,Face (14),full,emotion_full,6,2025-09-25T12:56:18.884526
67839886a09ff9fef57d6ba9,Face (14),full,masc_choice_full,both,2025-09-25T12:56:18.884526
67839886a09ff9fef57d6ba9,Face (14),full,fem_choice_full,both,2025-09-25T12:56:18.884526
67839886a09ff9fef57d6ba9,Face (15),left,trust_left,4,2025-09-25T12:48:39.121292
67839886a09ff9fef57d6ba9,Face (15),left,emotion_left,4,2025-09-25T12:48:39.121292
67839886a09ff9fef57d6ba9,Face (15),right,trust_right,5,2025-09-25T12:48:39.121292
67839886a09ff9fef57d6ba9,Face (15),right,emotion_right,5,2025-09-25T12:48:39.121292
67839886a09ff9fef57d6ba9,Face (15),half,masc_choice_half,both,2025-09-25T12:48:39.121292
67839886a09ff9fef57d6ba9,Face (15),half,fem_choice_half,both,2025-09-25T12:48:39.121292
67839886a09ff9fef57d6ba9,Face (15),full,trust_full,5,2025-09-25T12:48:39.121292
67839886a09ff9fef57d6ba9,Face (15),full,emotion_full,6,2025-09-25T12:48:39.121292
67839886a09ff9fef57d6ba9,Face (15),full,masc_choice_full,both,2025-09-25T12:48:39.121292
67839886a09ff9fef57d6ba9,Face (15),full,fem_choice_full,both,2025-09-25T12:48:39.121292
67839886a09ff9fef57d6ba9,Face (16),left,trust_left,5,2025-09-25T12:55:34.665690
67839886a09ff9fef57d6ba9,Face (16),left,emotion_left,4,2025-09-25T12:55:34.665690
67839886a09ff9fef57d6ba9,Face (16),right,trust_right,6,2025-09-25T12:55:34.665690
67839886a09ff9fef57d6ba9,Face (16),right,emotion_right,6,2025-09-25T12:55:34.665690
67839886a09ff9fef57d6ba9,Face (16),half,masc_choice_half,left,2025-09-25T12:55:34.665690
67839886a09ff9fef57d6ba9,Face (16),half,fem_choice_half,right,2025-09-25T12:55:34.665690
67839886a09ff9fef57d6ba9,Face (16),full,trust_full,6,2025-09-25T12:55:34.665690
67839886a09ff9fef57d6ba9,Face (16),full,emotion_full,6,2025-09-25T12:55:34.665690
67839886a09ff9fef57d6ba9,Face (16),full,masc_choice_full,both,2025-09-25T12:55:34.665690
67839886a09ff9fef57d6ba9,Face (16),full,fem_choice_full,both,2025-09-25T12:55:34.665690
67839886a09ff9fef57d6ba9,Face (17),left,trust_left,5,2025-09-25T12:29:19.448924
67839886a09ff9fef57d6ba9,Face (17),left,emotion_left,5,2025-09-25T12:29:19.448924
